index,sno,state,region,alcintake2014,overspeed2014,overtaking2014,lanejumping2014,wrongside2014,signalavoid2014,asleep2014,othercause2014,alcintake2016,overspeed2016,signalavoid2016,wrongside2016,lanejumping2016,overtaking2016,asleep2016,othercause2016,Total Accidents 2014,Total Accidents 2016,14 and 16 accendents
0,1,Andhra Pradesh,south,594,12747,507,328,668,29,154,1938,128,17286,40,667,325,1024,306,2868,16965,22644,39609
1,2,Arunachal Pradesh,northeast,11,16,0,0,0,0,0,22,15,45,0,7,11,8,8,18,49,112,161
2,3,Assam,northeast,613,4596,129,104,156,7,3,628,352,3520,64,334,156,371,3,873,6236,5673,11909
3,4,Bihar,north,1680,1496,278,236,308,7,72,439,593,2323,8,458,156,573,122,612,4516,4845,9361
4,5,Chhattisgarh,centre,335,6720,188,313,266,10,81,520,145,6660,62,410,175,467,144,953,8433,9016,17449
5,6,Goa,west,9,3148,33,8,61,0,4,159,3,3883,0,19,0,80,4,247,3422,4236,7658
6,7,Gujarat,west,42,13752,641,370,394,51,95,283,64,13314,261,733,662,1016,156,904,15628,17110,32738
7,8,Haryana,north,1095,4185,206,179,393,93,154,292,529,2344,592,913,690,1134,462,1210,6597,7874,14471
8,9,Himachal Pradesh,north,74,2763,21,10,43,0,0,0,72,516,0,21,78,195,0,1392,2911,2274,5185
9,10,Jammu & Kashmir,north,388,2859,67,29,58,0,0,315,47,2428,0,14,2,18,0,633,3716,3142,6858
10,11,Jharkhand,centre,611,1627,68,149,221,1,6,25,543,652,37,169,110,155,0,0,2708,1666,4374
11,12,Karnataka,south,2207,23370,944,455,877,99,145,4700,396,31506,228,900,292,1019,40,4955,32797,39336,72133
12,13,Kerala,south,35,20611,1217,1178,1138,92,1393,86,133,34062,406,1254,121,2175,61,50,25750,38262,64012
13,14,Madhya Pradesh,centre,3540,20967,1165,1526,932,87,86,4130,3083,28017,413,1300,657,4091,681,4589,32433,42831,75264
14,15,Maharashtra,west,1251,29790,1687,897,796,9,129,5537,226,23643,97,1922,765,1883,378,3883,40096,32797,72893
15,16,Manipur,northeast,0,0,0,0,0,0,0,0,71,57,0,39,0,46,30,66,0,309,309
16,17,Meghalaya,northeast,25,40,0,0,0,0,0,0,35,146,0,0,0,0,0,0,65,181,246
17,18,Mizoram,east,16,48,24,0,1,0,0,28,27,14,0,2,0,6,7,11,117,67,184
18,19,Nagaland,northeast,91,51,0,0,26,0,0,70,13,11,0,0,0,0,0,0,238,24,262
19,20,Odisha,centre,637,3699,336,286,519,114,161,326,1255,4984,75,565,188,1194,80,1375,6078,9716,15794
20,21,Punjab,north,442,2253,60,211,127,17,34,153,317,2517,180,512,194,585,17,498,3297,4820,8117
21,22,Rajasthan,northwest,915,11395,102,1157,656,2,176,1803,673,13358,0,981,217,1345,222,5012,16206,21808,38014
22,23,Sikkim,northeast,8,28,0,0,0,0,0,51,12,45,0,20,0,17,0,0,87,94,181
23,24,Tamil Nadu,south,1416,28804,2171,1869,1529,451,161,6874,531,47055,1004,3209,2367,7155,671,4866,43275,66858,110133
24,25,Telangana,centre,968,6266,526,232,570,22,157,4065,202,13615,52,156,37,539,14,1301,12806,15916,28722
25,26,Tripura,east,12,499,0,7,29,1,0,0,5,413,0,15,0,56,0,28,548,517,1065
26,27,Uttarakhand,north,508,94,15,69,99,7,0,72,40,736,0,105,0,132,0,70,864,1083,1947
27,28,Uttar Pradesh,north,1232,2561,392,362,763,115,238,1915,4633,10184,632,2560,1123,3937,1121,4093,7578,28283,35861
28,29,West Bengal,east,0,3339,257,179,205,106,49,1356,462,1473,90,93,53,122,22,6915,5491,9230,14721
29,30,Andaman and Nicobar,southeast,25,94,7,20,11,0,0,0,27,124,2,31,0,15,0,39,157,238,395
30,31,Chandigarh,north,11,160,83,25,17,0,0,7,9,380,10,17,5,0,0,7,303,428,731
31,32,Dadra and Nagar Haveli and Daman and Diu,west,1,21,0,0,0,0,0,65,0,8,0,5,0,5,2,4,87,24,111
32,33,Ladakh,north,0,21,2,2,1,0,0,10,7,29,0,2,0,2,1,27,36,68,104
33,34,Delhi,north,51,,0,0,0,0,0,0,164,1696,229,131,129,211,0,2838,51,5398,5449
34,35,Lakshadweep,southwest,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
35,36,Puducherry,south,73,250,136,0,8,12,15,417,82,1297,9,90,0,71,0,193,911,1742,2653
