"Reason","Accidents","Killed","Injured"
"Fault of Driver of motor vehicle",403598,121126,414785
"Fault of Driver of non - motorized vehicle",6546,2250,7620
"Fault of Pedestrian",8298,3091,7465
"Fault of Passenger",5200,2181,4535
"Mechanical Defect in motor vehicle",6688,2823,6956
"Engineering / Designing fault of Roads",1289,589,1217
"Defect in road condition",7158,2983,6579
"Stray Animal",1604,629,1307
"Poor light condition",3833,1631,4477
"Other causes",20858,7312,23380
"Causes not known",15580,6170,16303
